timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736948116584,443,Execute,400,Bad Request,Load test 1-15,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7527/execute,443,0,382
1736948116689,429,Execute,400,Bad Request,Load test 1-13,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7528/execute,429,0,305
1736948116937,347,Execute,400,Bad Request,Load test 1-3,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7529/execute,347,0,224
1736948116980,376,Execute,400,Bad Request,Load test 1-8,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7532/execute,376,0,249
1736948116977,391,Execute,400,Bad Request,Load test 1-12,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7530/execute,390,0,271
1736948116989,388,Execute,400,Bad Request,Load test 1-11,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7531/execute,388,0,306
1736948117062,511,Execute,400,Bad Request,Load test 1-14,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7540/execute,510,0,262
1736948117032,543,Execute,400,Bad Request,Load test 1-6,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7534/execute,543,0,268
1736948117059,554,Execute,400,Bad Request,Load test 1-7,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7538/execute,554,0,244
1736948117179,448,Execute,400,Bad Request,Load test 1-19,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7542/execute,448,0,147
1736948117184,456,Execute,400,Bad Request,Load test 1-2,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7544/execute,455,0,151
1736948117032,614,Execute,400,Bad Request,Load test 1-9,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7535/execute,614,0,271
1736948117174,472,Execute,400,Bad Request,Load test 1-4,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7536/execute,472,0,158
1736948117036,616,Execute,400,Bad Request,Load test 1-17,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7537/execute,616,0,266
1736948117182,470,Execute,400,Bad Request,Load test 1-24,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7543/execute,470,0,153
1736948117077,593,Execute,400,Bad Request,Load test 1-16,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7539/execute,593,0,247
1736948117094,588,Execute,400,Bad Request,Load test 1-5,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7533/execute,587,0,241
1736948117063,626,Execute,400,Bad Request,Load test 1-1,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7541/execute,626,0,272
1736948117390,430,Execute,400,Bad Request,Load test 1-18,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7546/execute,430,0,152
1736948117360,468,Execute,400,Bad Request,Load test 1-21,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7547/execute,468,0,158
1736948117434,399,Execute,400,Bad Request,Load test 1-3,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7551/execute,399,0,106
1736948117429,410,Execute,400,Bad Request,Load test 1-13,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7550/execute,410,0,108
1736948117358,495,Execute,400,Bad Request,Load test 1-10,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7545/execute,495,0,156
1736948117370,509,Execute,400,Bad Request,Load test 1-22,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7548/execute,509,0,153
1736948117373,519,Execute,400,Bad Request,Load test 1-15,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7549/execute,519,0,164
1736948117584,321,Execute,400,Bad Request,Load test 1-12,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7553/execute,321,0,51
1736948117585,327,Execute,400,Bad Request,Load test 1-8,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7552/execute,327,0,58
1736948113583,4384,Execute,201,Created,Load test 1-27,text,true,,1165,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7432/execute,4384,0,265
1736948117634,333,Execute,400,Bad Request,Load test 1-11,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7554/execute,333,0,148
1736948117758,225,Execute,400,Bad Request,Load test 1-6,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7556/execute,225,0,48
1736948117720,267,Execute,400,Bad Request,Load test 1-14,text,false,,869,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7555/execute,267,0,84
1736948113581,4516,Execute,201,Created,Load test 1-25,text,true,,1165,2314,27,27,https://apibsqa.lima.bcp.com.pe/bs-remittance-bank-draft-v1/consumer-services/bank-drafts/v1/customer-payments/7434/execute,4516,0,284
